payment_id,commission_id,paid_on,method
8ac6d42d-e09c-4984-9794-c654d669b25a,0c22fb5d-e7df-4654-98bc-af96747846de,2024-04-01,CARD
0f38f4df-2901-416c-b583-7d4a7333ff9d,6b4a01d8-d491-4529-91fe-f69c12dd0fc2,2024-02-28,BANK_TRANSFER
6b292d3b-c566-4a23-8c5d-91f211d1caac,d5e4cce2-f368-45dd-ae49-aa71edbc775a,2024-07-31,CASH
06e37f41-94f2-4af0-824b-e7842ea10fd4,cdc10016-9b8b-4c05-be5f-8975dc97bafb,2024-10-01,CARD
c56576b1-9918-4275-ae10-51e157bc0529,091b8e7b-5641-4e49-9b9c-3f68779a0244,2024-10-12,BANK_TRANSFER
6e033ec7-c9da-4d00-ab0f-db3569e833db,4c3f9c1e-adef-4c84-9956-b3f510446a0b,2024-12-07,CASH
7ce24986-d818-4cb3-a15b-f328450e856a,4857a4d7-06dc-4e3f-9f3d-583e90cc1429,2024-06-29,CASH
4b474a33-f6f5-433f-9733-e4bbae262de7,1cf61df6-bac2-4849-97e3-b254eb8b001f,2024-02-17,CARD
af31944b-a0a1-4c05-9ed6-278e8528a18a,2323c697-4301-424f-96be-37bacf117878,2024-10-04,CARD
df11dbf7-bbf9-4867-aef1-e4fce0c146e7,cb83bf32-0005-4c54-bb08-e2c1673996b3,2024-07-12,BANK_TRANSFER
ada9d335-16a1-460d-9a42-b02461cfe160,8ed8a37c-23e8-4830-b66a-d0455754b0cd,2024-11-08,BANK_TRANSFER
bfd73692-8adb-432a-89a9-96320327811a,f34bb374-3165-47d9-82b5-ebccacaaf159,2024-02-21,BANK_TRANSFER
84505e63-db6e-45e3-ad87-51234e36f68a,4965f6de-2e71-4818-9dcc-30b2a914f29c,2024-01-28,CASH
819259f9-a627-4a2f-a32a-177bee8b1edd,cda1aff9-9dad-4b22-aea1-386ad3248705,2024-04-15,BANK_TRANSFER
167f771e-890a-448f-9284-4bebd88f8a7a,02655cca-2a72-4f38-8458-912f700fc954,2024-05-31,BANK_TRANSFER
db15405f-0eb3-44e0-a024-f529cc0f15d2,6d76f144-93af-4e64-94b7-694d23ab73f8,2024-07-30,BANK_TRANSFER
63455f21-c82b-4a2d-9d87-758267bd5992,c494fb0b-cbc8-4428-a576-bf6aec0a5061,2024-11-13,BANK_TRANSFER
0a672a0b-7965-4ce3-bfc7-c84867d78802,2d951089-5cbf-4a1b-b852-da3a8708062e,2024-02-09,BANK_TRANSFER
385c3dd5-dd86-4121-8710-04ce22335391,947c2ff9-689a-4bc3-9a91-435cc675c14f,2024-01-27,CARD
80c2d73c-9d71-43ac-aea9-28216e7fff36,ab8e335d-feb6-40af-b4a4-e2cabc03b024,2025-01-04,CARD
37171bcd-cefb-4409-81e3-651f791c174e,3ceb1e12-5108-48cf-bc7a-10e9418181f0,2024-05-24,BANK_TRANSFER
26fa7df4-08f5-4eb9-8dac-e38b23a007b8,3d5a38b9-0181-4592-892b-dc482840f3c0,2024-06-06,BANK_TRANSFER
f328c858-bfad-4b39-ad25-f82256dc7e95,a960986c-a8fd-4a01-ac10-dcb3e4f86a16,2024-08-23,CASH
86c4dd8e-cefb-40df-9157-d93bbacf2e16,8782fb76-19a5-4fc8-96ba-4d6b9a16eb13,2024-10-17,CASH
1bfd37ed-a75a-43e1-bb77-189f98b2897f,5a9d923e-3fe5-4058-ab0b-7c0d3f74ac35,2024-05-02,CARD
eb62759c-ab14-47ac-acff-935e3de4642f,d54897c8-5e43-490f-8c23-6ac821c9089e,2024-04-21,BANK_TRANSFER
