zone,day,total_rides,cancellations,avg_fare
Zone_1,2024-01-01,5,0,31.386
Zone_2,2024-01-01,4,0,34.182500000000005
Zone_3,2024-01-01,2,0,20.520000000000003
Zone_4,2024-01-01,2,0,28.490000000000002
Zone_5,2024-01-01,1,0,30.05
Zone_10,2024-01-01,2,0,29.560000000000002
Zone_11,2024-01-01,2,0,39.765
Zone_20,2024-01-01,3,0,31.866666666666664
Zone_21,2024-01-01,6,1,23.743333333333332
Zone_22,2024-01-01,2,0,39.34
Zone_23,2024-01-01,4,0,18.4225
Zone_24,2024-01-01,3,0,41.35
Zone_13,2024-01-01,3,0,38.696666666666665
Zone_26,2024-01-01,1,0,58.21
Zone_27,2024-01-01,5,0,29.744
Zone_28,2024-01-01,3,0,35.25666666666667
Zone_29,2024-01-01,4,0,28.162499999999998
Zone_30,2024-01-01,5,0,18.427999999999997
Zone_6,2024-01-01,4,1,33.9525
Zone_7,2024-01-01,5,0,44.304
Zone_8,2024-01-01,2,1,19.115
Zone_9,2024-01-01,3,0,35.230000000000004
Zone_14,2024-01-01,3,1,7.256666666666667
Zone_15,2024-01-01,3,0,29.04333333333333
Zone_16,2024-01-01,6,1,22.4
Zone_17,2024-01-01,4,0,43.9325
Zone_31,2024-01-01,2,0,48.625
Zone_32,2024-01-01,2,0,18.03
Zone_33,2024-01-01,3,1,33.403333333333336
Zone_34,2024-01-01,1,0,12.49
Zone_35,2024-01-01,2,0,28.375
Zone_18,2024-01-01,2,1,14.405
Zone_19,2024-01-01,6,0,30.426666666666666
Zone_36,2024-01-01,3,0,35.276666666666664
Zone_37,2024-01-01,3,0,32.39
Zone_38,2024-01-01,4,0,29.112499999999997
Zone_39,2024-01-01,3,0,27.9
Zone_40,2024-01-01,2,0,32.63
Zone_39,2024-01-02,4,0,34.84
Zone_40,2024-01-02,4,2,16.34
Zone_25,2024-01-02,2,0,29.47
Zone_26,2024-01-02,2,0,39.46
Zone_27,2024-01-02,9,2,24.69222222222222
Zone_9,2024-01-02,1,0,15.54
Zone_10,2024-01-02,2,0,24.91
Zone_11,2024-01-02,5,1,21.382
Zone_1,2024-01-02,4,1,22.449999999999996
Zone_2,2024-01-02,3,0,39.73
Zone_3,2024-01-02,2,0,26.67
Zone_4,2024-01-02,3,0,37.376666666666665
Zone_5,2024-01-02,5,0,41.034
Zone_12,2024-01-02,6,1,28.541666666666668
Zone_13,2024-01-02,3,0,46.193333333333335
Zone_14,2024-01-02,3,1,27.926666666666666
Zone_20,2024-01-02,4,1,19.9675
Zone_21,2024-01-02,3,0,39.07
Zone_22,2024-01-02,2,0,44.415
