zone_id,name
Z01,Zone_1
Z02,Zone_2
Z03,Zone_3
Z04,Zone_4
Z05,Zone_5
Z06,Zone_6
Z07,Zone_7
Z08,Zone_8
Z09,Zone_9
Z10,Zone_10
Z11,Zone_11
Z12,Zone_12
Z13,Zone_13
Z14,Zone_14
Z15,Zone_15
Z16,Zone_16
Z17,Zone_17
Z18,Zone_18
Z19,Zone_19
Z20,Zone_20
Z21,Zone_21
Z22,Zone_22
Z23,Zone_23
Z24,Zone_24
Z25,Zone_25
Z26,Zone_26
Z27,Zone_27
Z28,Zone_28
Z29,Zone_29
Z30,Zone_30
Z31,Zone_31
Z32,Zone_32
Z33,Zone_33
Z34,Zone_34
Z35,Zone_35
Z36,Zone_36
Z37,Zone_37
Z38,Zone_38
Z39,Zone_39
Z40,Zone_40
